company,school_1,alumnicount_1,school_2,alumnicount_2,school_3,alumnicount_3,school_4,alumnicount_4,school_5,alumnicount_5,school_6,alumnicount_6,school_7,alumnicount_7,school_8,alumnicount_8,school_9,alumnicount_9,school_10,alumnicount_10,school_11,alumnicount_11,school_12,alumnicount_12,school_13,alumnicount_13,school_14,alumnicount_14,school_15,alumnicount_15,id
Devon Energy,university of oklahoma,254.0,oklahoma state university,189.0,university of central oklahoma,135.0,oklahoma city university,63.0,university of oklahoma price college of business,62.0,texas am university,54.0,southern alberta institute of technology sait,48.0,oklahoma christian university,47.0,texas tech university,38.0,southwestern oklahoma state university,36.0,southern nazarene university,35.0,the university of tulsa,33.0,the university of texas at austin,32.0,university of calgary,24.0,east central university,19.0,147
Dexcom,san diego state university,242.0,uc san diego,234.0,arizona state university,114.0,vilniaus universitetas vilnius university,90.0,university of southern california,45.0,university of san diego,45.0,california state university san marcos,44.0,california polytechnic state universitysan luis obispo,44.0,university of california berkeley,42.0,university of phoenix,42.0,uc irvine,41.0,universiti sains malaysia,39.0,ucla,39.0,polytechnic university of the philippines,38.0,cetys universidad,37.0,148
Diamondback Energy,texas tech university,82.0,texas am university,61.0,the university of texas permian basin,58.0,midland college,57.0,university of oklahoma,42.0,oklahoma state university,41.0,university of central oklahoma,31.0,the university of texas at austin,20.0,louisiana state university,18.0,texas tech university rawls college of business,15.0,oklahoma christian university,13.0,oklahoma city university,13.0,university of phoenix,12.0,southern nazarene university,11.0,angelo state university,10.0,149
Digital Realty,northern virginia community college,53.0,singapore management university,25.0,nanyang technological university singapore,24.0,dublin business school,23.0,university of phoenix,23.0,amsterdam university of applied sciences,22.0,national university of singapore,20.0,george mason university,15.0,vrije universiteit amsterdam vu amsterdam,14.0,university of north texas,14.0,university of amsterdam,12.0,inholland university of applied sciences,12.0,the university of hong kong,11.0,university of san francisco,10.0,trinity college dublin,9.0,150
Discover Financial,wilmington university,482.0,depaul university,359.0,northern illinois university,318.0,university of illinois urbanachampaign,312.0,university of phoenix,257.0,university of illinois chicago,253.0,illinois state university,251.0,arizona state university,242.0,salt lake community college,225.0,the ohio state university,207.0,university of utah,165.0,northwestern university,139.0,jawaharlal nehru technological university,137.0,purdue university,120.0,lake forest graduate school of management,107.0,151
Dollar General,university of phoenix,340.0,strayer university,161.0,western kentucky university,129.0,middle tennessee state university mtsu,118.0,university of tennessee knoxville,114.0,ivy tech community college,104.0,colorado technical university,104.0,southern new hampshire university,92.0,kaplan university,73.0,tennessee technological university,55.0,volunteer state community college,55.0,western governors university,54.0,austin peay state university,54.0,capella university,53.0,universidad autonoma de nuevo leon,39.0,152
Dollar Tree,old dominion university,197.0,university of phoenix,147.0,tidewater community college,121.0,southern new hampshire university,58.0,strayer university,52.0,ivy tech community college,46.0,virginia tech,46.0,norfolk state university,38.0,penn foster group,36.0,virginia commonwealth university,35.0,colorado technical university,35.0,liberty university,31.0,james madison university,26.0,university of maryland global campus,19.0,william mary,19.0,153
Dominion Energy,virginia commonwealth university,571.0,virginia tech,393.0,university of south carolina,281.0,old dominion university,239.0,university of virginia,161.0,james madison university,150.0,clemson university,116.0,virginia commonwealth university school of business,107.0,j sargeant reynolds community college,104.0,excelsior university,98.0,liberty university,94.0,penn state university,92.0,midlands technical college,91.0,averett university,90.0,john tyler community college,83.0,154
Republic Services,university of phoenix,221.0,arizona state university,216.0,w p carey school of business arizona state university,79.0,university of arizona,68.0,grand canyon university,55.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,155
Domino's,eastern michigan university,134.0,michigan state university,124.0,university of michigan,105.0,conestoga college,101.0,university of north texas,97.0,university of phoenix,95.0,qut queensland university of technology,80.0,central michigan university,79.0,delhi university,76.0,seneca polytechnic,67.0,lambton college,60.0,fanshawe college,55.0,wayne state university,47.0,washtenaw community college,45.0,university of michigandearborn,41.0,156
Dover Corporation,northern illinois university,17.0,visvesvaraya technological university,16.0,university of illinois urbanachampaign,13.0,birla institute of technology and science pilani,10.0,rv college of engineering,9.0,depaul university,9.0,the university of chicago booth school of business,9.0,purdue university,8.0,university of cebu,8.0,university of san carlos,7.0,university of wisconsinmadison,7.0,loyola university chicago,7.0,the institute of chartered accountants of india,6.0,university of illinois chicago,6.0,northwestern university kellogg school of management,6.0,157
Dow Inc.,delta college,729.0,central michigan university,674.0,saginaw valley state university,633.0,northwood university,553.0,texas am university,437.0,michigan state university,431.0,louisiana state university,388.0,university of houston,320.0,universidad nacional del sur,232.0,the university of texas at austin,231.0,university of michigan,224.0,hz university of applied sciences,217.0,fgv fundacao getulio vargas,209.0,university of mumbai,198.0,usp universidade de sao paulo,145.0,158
D. R. Horton,texas am university,130.0,the university of texas at arlington,81.0,university of phoenix,79.0,university of central florida,71.0,texas state university,69.0,university of north texas,59.0,florida state university,57.0,university of florida,56.0,texas tech university,55.0,university of south florida,50.0,tarrant county college,48.0,the university of alabama,48.0,arizona state university,45.0,utah valley university,44.0,coastal carolina university,43.0,159
DTE Energy,wayne state university,656.0,university of michigandearborn,290.0,michigan state university,285.0,university of michigan,265.0,eastern michigan university,222.0,oakland university,202.0,central michigan university,201.0,macomb community college,170.0,henry ford college,153.0,walsh college,152.0,lawrence technological university,149.0,the university of toledo,110.0,university of detroit mercy,106.0,michigan technological university,98.0,monroe county community college,97.0,160
Duke Energy,university of north carolina at charlotte,882.0,north carolina state university,871.0,clemson university,371.0,central piedmont community college,236.0,university of south carolina,234.0,university of cincinnati,231.0,university of south florida,214.0,university of north carolina at chapel hill,211.0,appalachian state university,191.0,university of phoenix,191.0,east carolina university,188.0,purdue university,173.0,university of central florida,163.0,university of florida,162.0,university of north carolina wilmington,160.0,161
DuPont,university of delaware,315.0,universidad de oviedo,242.0,penn state university,205.0,drexel university,153.0,virginia tech,127.0,purdue university,116.0,iowa state university,107.0,national taiwan university,102.0,the ohio state university,96.0,osmania university,94.0,virginia commonwealth university,74.0,university of illinois urbanachampaign,72.0,national tsing hua university,69.0,fgv fundacao getulio vargas,64.0,michigan state university,62.0,162
Eastman Chemical Company,east tennessee state university,660.0,university of tennessee knoxville,347.0,northeast state community college,326.0,tennessee technological university,131.0,virginia tech,126.0,north carolina state university,108.0,kilgore college,103.0,ghent university,98.0,king university,91.0,clemson university,74.0,purdue university,72.0,texas am university,70.0,georgia institute of technology,62.0,louisiana tech university,57.0,the university of alabama,55.0,163
Eaton Corporation,savitribai phule pune university,702.0,birla institute of technology and science pilani,277.0,north carolina state university,266.0,tecnologico de monterrey,252.0,michigan state university,230.0,penn state university,194.0,university of pittsburgh,193.0,universidad tecmilenio,172.0,the ohio state university,164.0,fgv fundacao getulio vargas,141.0,coep technological university,131.0,universidade estadual de campinas,128.0,university of mumbai,119.0,vishwakarma institute of technology,114.0,indian institute of technology bombay,107.0,164
eBay,san jose state university,257.0,university of california berkeley,138.0,salt lake community college,120.0,university of southern california,114.0,university of utah,111.0,university of mumbai,93.0,shanghai jiao tong university,91.0,anna university chennai,88.0,stanford university,83.0,jawaharlal nehru technological university,83.0,university of washington,76.0,the university of texas at austin,72.0,santa clara university,69.0,ucla,69.0,visvesvaraya technological university,53.0,165
Ecolab,university of minnesota,458.0,university of minnesota carlson school of management,254.0,university of buenos aires,188.0,krakow university of economics,169.0,university of st thomas,169.0,university of wisconsinmadison,164.0,savitribai phule pune university,150.0,fgv fundacao getulio vargas,138.0,uade,136.0,university of illinois urbanachampaign,126.0,purdue university,114.0,university of minnesota duluth,110.0,penn state university,102.0,texas am university,92.0,michigan state university,81.0,166
Edison International,uc irvine,28.0,university of la verne,27.0,california state polytechnic universitypomona,22.0,ucla,20.0,university of southern california,20.0,california state university long beach,20.0,university of phoenix,19.0,university of redlands,8.0,california state university fullerton,8.0,california state university northridge,8.0,california state university los angeles,7.0,long beach city college,7.0,university of california riverside,7.0,mt san antonio college,7.0,university of california berkeley,6.0,167
Equity Residential,depaul university,27.0,university of phoenix,19.0,university of illinois urbanachampaign,15.0,university of illinois chicago,13.0,loyola university chicago,11.0,san diego state university,10.0,northern illinois university,10.0,california state university fullerton,10.0,university of washington,8.0,new york university,7.0,devry university,7.0,northeastern university,7.0,johnson wales university,7.0,california state university long beach,7.0,california state university northridge,7.0,168
Edwards Lifesciences,uc irvine,459.0,california state university fullerton,268.0,university of southern california,192.0,california state university long beach,173.0,ucla,163.0,tecnologico de costa rica,134.0,california state polytechnic universitypomona,118.0,university of utah,118.0,uc san diego,117.0,university of california riverside,112.0,california polytechnic state universitysan luis obispo,111.0,university of limerick,108.0,university of california irvine the paul merage school of business,98.0,university of phoenix,85.0,universidad de costa rica ucr,76.0,169
Electronic Arts,the university of british columbia,478.0,simon fraser university,393.0,british columbia institute of technology,302.0,vancouver film school,270.0,university of central florida,247.0,university politehnica of bucharest,216.0,full sail university,193.0,university of bucharest,165.0,university of victoria,132.0,university of waterloo,131.0,academia de studii economice din bucuresti,128.0,university of southern california,114.0,academy of art university,92.0,university of california berkeley,89.0,university of alberta,87.0,170
Elevance Health,southern new hampshire university,738.0,university of phoenix,619.0,western governors university,515.0,indiana university indianapolis,338.0,university of cincinnati,303.0,indiana university bloomington,300.0,old dominion university,300.0,jawaharlal nehru technological university,252.0,indiana wesleyan university,240.0,virginia commonwealth university,239.0,california state university northridge,227.0,purdue university,222.0,ball state university,177.0,jntuh college of engineering hyderabad,155.0,ucla,141.0,171
Emerson Electric,babesbolyai university,1092.0,technical university of cluj napoca,736.0,savitribai phule pune university,571.0,university of minnesota,293.0,iowa state university,269.0,texas am university,186.0,the university of texas at austin,183.0,anna university chennai,176.0,university of mumbai,171.0,vishwakarma institute of technology,145.0,tecnologico de monterrey,125.0,coep technological university,117.0,shri guru gobind singhji institute of engineering and technology vishnupuri nanded,109.0,universidade paulista,108.0,fgv fundacao getulio vargas,90.0,172
Enphase Energy,indian institute of technology kharagpur,60.0,university of canterbury,54.0,indian institute of technology delhi,48.0,indian institute of technology madras,47.0,visvesvaraya technological university,43.0,vellore institute of technology,41.0,indian institute of technology guwahati,38.0,birla institute of technology and science pilani,38.0,indian institute of technology bombay,36.0,indian institute of technology roorkee,34.0,indian institute of technology kanpur,33.0,anna university chennai,24.0,boise state university,24.0,the university of texas at austin,20.0,dr apj abdul kalam technical university,15.0,173
Entergy,louisiana state university,516.0,university of new orleans,413.0,mississippi state university,229.0,arkansas tech university,217.0,southeastern louisiana university,173.0,university of phoenix,133.0,university of arkansas,114.0,lamar university,111.0,university of louisiana at lafayette,109.0,louisiana tech university,108.0,the university of southern mississippi,97.0,university of arkansas at little rock,95.0,texas am university,93.0,tulane university ab freeman school of business,91.0,tulane university,85.0,174
EOG Resources,texas am university,180.0,university of houston,137.0,the university of texas at austin,124.0,texas tech university,93.0,colorado school of mines,62.0,the university of texas permian basin,39.0,texas state university,39.0,university of houstondowntown,38.0,university of oklahoma,35.0,university of houston ct bauer college of business,33.0,the university of texas at san antonio,33.0,sam houston state university,29.0,university of the west indies st augustine campus,27.0,midland college,26.0,oklahoma state university,26.0,175
EPAM Systems,belarusian state university of informatics and radioelectronics,1960.0,belarusian state university,1709.0,national technical university of ukraine kyiv polytechnic institute,1258.0,belarusian state economic university,844.0,belarusian national technical university,762.0,lviv polytechnic national university,634.0,ivan franko national university of lviv,575.0,it academy,544.0,kharkiv national university of radioelectronics,537.0,minsk state linguistic university,494.0,taras shevchenko national university of kyiv,473.0,savitribai phule pune university,232.0,yerevan state university,181.0,kendriya vidyalaya,153.0,birla institute of technology and science pilani,99.0,176
EQT Corporation,penn state university,98.0,university of pittsburgh,84.0,west virginia university,64.0,duquesne university,43.0,pennwest california,35.0,robert morris university,34.0,fairmont state university,27.0,carnegie mellon university tepper school of business,23.0,waynesburg university,22.0,indiana university of pennsylvania,22.0,point park university,18.0,university of pittsburgh katz graduate school of business,17.0,thomas r kline school of law of duquesne university,17.0,marietta college,16.0,texas am university,16.0,177
Equifax,universidad de costa rica ucr,204.0,georgia institute of technology,163.0,georgia state university,159.0,universidad fidelitas,148.0,universidad latina de costa rica,141.0,university of missourisaint louis,128.0,tecnologico de costa rica,127.0,jawaharlal nehru technological university,112.0,kennesaw state university,111.0,lindenwood university,105.0,the university of georgia,104.0,fgv fundacao getulio vargas,95.0,university of missouricolumbia,91.0,university of georgia terry college of business,85.0,universidad de santiago de chile,78.0,178
Equinix,estacio,144.0,san jose state university,115.0,national university of singapore,103.0,fgv fundacao getulio vargas,76.0,nanyang technological university singapore,73.0,warsaw university of technology,61.0,technological university dublin,59.0,university of mumbai,58.0,university of california berkeley,58.0,universidade paulista,56.0,uninove universidade nove de julho,53.0,jawaharlal nehru technological university,49.0,visvesvaraya technological university,44.0,amsterdam university of applied sciences,43.0,rmit university,40.0,179
Ingersoll Rand,masaryk university brno,79.0,university of north carolina at charlotte,76.0,university of phoenix,63.0,penn state university,63.0,university at buffalo,57.0,politecnico di milano,53.0,purdue university,53.0,north carolina state university,45.0,shanghai jiao tong university,44.0,visvesvaraya technological university,42.0,fgv fundacao getulio vargas,39.0,texas am university,37.0,savitribai phule pune university,32.0,anna university chennai,30.0,mendel university in brno,27.0,180
Erie Indemnity,gannon university,317.0,penn state university,282.0,pennwest edinboro,282.0,mercyhurst university,266.0,penn state erie the behrend college,261.0,pennsylvania state universityerie campus,122.0,slippery rock university of pennsylvania,74.0,indiana university of pennsylvania,62.0,university of pittsburgh,59.0,southern new hampshire university,45.0,pennwest clarion,44.0,university of phoenix,41.0,west virginia university,41.0,kent state university,33.0,the university of arizona global campus,30.0,181
Essex Property Trust,san jose state university,25.0,university of california berkeley,17.0,california state university northridge,15.0,california state university east bay,14.0,san francisco state university,12.0,ucla,11.0,university of southern california,11.0,de anza college,10.0,university of phoenix,10.0,uc santa barbara,10.0,california state university long beach,10.0,west valley college,9.0,college of the canyons,8.0,university of washington,8.0,uc san diego,8.0,182
Estée Lauder Companies (The),fashion institute of technology,298.0,new york university,290.0,stony brook university,207.0,penn state university,135.0,national university of singapore,135.0,hofstra university,134.0,the university of hong kong,131.0,nyu stern school of business,119.0,rutgers university,110.0,the wharton school,104.0,cornell university,90.0,tecnologico de monterrey,88.0,essec business school,80.0,universita cattolica del sacro cuore,72.0,neoma business school,70.0,183
Everest Group,delhi university,41.0,svkms narsee monjee institute of management studies nmims,36.0,delhi technological university formerly dce,29.0,management development institute gurgaon,27.0,indian institute of management indore,26.0,shaheed sukhdev college of business studies,21.0,indian institute of management kozhikode,20.0,christ university bangalore,19.0,guru gobind singh indraprastha university,17.0,xlri jamshedpur,14.0,xavier institute of managementxim bhubaneswar,13.0,indian institute of management udaipur,12.0,indian institute of management lucknow,11.0,indian institute of foreign trade,10.0,vellore institute of technology,10.0,184
Evergy,kansas state university,148.0,washburn university,106.0,the university of kansas,98.0,university of missourikansas city,76.0,wichita state university,71.0,baker university,54.0,university of missouricolumbia,50.0,emporia state university,47.0,missouri university of science and technology,38.0,johnson county community college,35.0,university of central missouri,26.0,park university,26.0,fort hays state university,25.0,pittsburg state university,21.0,northwest missouri state university,21.0,185
Eversource Energy,university of connecticut,303.0,northeastern university,186.0,central connecticut state university,185.0,southern new hampshire university,183.0,massachusetts maritime academy,148.0,worcester polytechnic institute,141.0,university of massachusetts amherst,137.0,university of hartford,122.0,university of massachusetts lowell,115.0,wentworth institute of technology,96.0,university of new hampshire,91.0,umass boston,81.0,university of new haven,74.0,university of connecticut school of business,66.0,bunker hill cc,66.0,186
Exelon,university of illinois chicago,308.0,penn state university,305.0,drexel university,300.0,university of illinois urbanachampaign,292.0,university of maryland,237.0,northern illinois university,230.0,university of maryland global campus,227.0,illinois institute of technology,205.0,depaul university,186.0,university of delaware,176.0,devry university,161.0,university of maryland baltimore county,154.0,towson university,153.0,temple university,146.0,villanova university,128.0,187
Expedia Group,university of washington,539.0,the university of texas at austin,253.0,delhi university,204.0,uw foster school of business,119.0,guru gobind singh indraprastha university,118.0,washington state university,113.0,cornell university,109.0,university of mumbai,108.0,university of southern california,99.0,netaji subhas institute of technology,99.0,northeastern university,86.0,kendriya vidyalaya,85.0,texas am university,84.0,seattle university,82.0,birla institute of technology and science pilani,72.0,188
Expeditors International,university of washington,233.0,washington state university,72.0,tecnologico de monterrey,66.0,seattle university,62.0,universidad autonoma de nuevo leon,55.0,western washington university,51.0,university of madras,51.0,universidade paulista,49.0,california state university long beach,49.0,university of phoenix,41.0,amsterdam university of applied sciences,40.0,university of mumbai,39.0,central washington university,39.0,arizona state university,35.0,san jose state university,28.0,189
Extra Space Storage,university of utah,84.0,western governors university,62.0,salt lake community college,62.0,university of utah david eccles school of business,51.0,brigham young university,43.0,university of phoenix,41.0,utah state university,38.0,weber state university,31.0,utah valley university,29.0,brigham young university idaho,23.0,florida atlantic university,13.0,arizona state university,12.0,the art institutes,10.0,full sail university,10.0,florida international university,8.0,190
ExxonMobil,texas am university,1046.0,university of buenos aires,994.0,the university of texas at austin,772.0,universidade federal do parana,593.0,university of houston,586.0,louisiana state university,573.0,national university of singapore,556.0,thunderbird school of global management,454.0,pontificia universidade catolica do parana,386.0,unc kenanflagler business school,348.0,university of north carolina at chapel hill,302.0,texas tech university,259.0,purdue university,254.0,georgia institute of technology,237.0,universiti teknologi petronas,222.0,191
"F5, Inc.",university of washington,224.0,eastern washington university,62.0,jawaharlal nehru technological university,61.0,san jose state university,54.0,washington state university,54.0,uw foster school of business,47.0,university of mumbai,43.0,western washington university,42.0,seattle university,42.0,universidad de guadalajara,39.0,tecnologico de monterrey,36.0,gonzaga university,34.0,bellevue college,34.0,kendriya vidyalaya,32.0,visvesvaraya technological university,29.0,192
ResMed,unsw,223.0,university of sydney,152.0,university of technology sydney,125.0,nanyang technological university singapore,81.0,tafe nsw,79.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,193
FactSet,polytechnic university of the philippines,371.0,osmania university,356.0,university of santo tomas,128.0,university of the philippines,110.0,jawaharlal nehru technological university,105.0,far eastern university,94.0,de la salle university,88.0,adamson university,88.0,andhra university,82.0,university of connecticut,74.0,pamantasan ng lungsod ng maynila,71.0,rensselaer polytechnic institute,71.0,university of santo tomas,68.0,university of the east,57.0,cavite state university,54.0,194
Fair Isaac,chitkara university,118.0,uc san diego,57.0,fgv fundacao getulio vargas,48.0,san diego state university,43.0,chandigarh university,37.0,visvesvaraya technological university,37.0,maulana azad national institute of technology,34.0,indian institute of technology guwahati,32.0,university of california berkeley,29.0,vellore institute of technology,28.0,usp universidade de sao paulo,27.0,university of minnesota,24.0,universidad de guadalajara,24.0,tecnologico de monterrey,23.0,birla institute of technology and science pilani,23.0,195
Fastenal,winona state university,358.0,university of wisconsinla crosse,102.0,conestoga college,86.0,university of north texas,76.0,saint marys university of minnesota,70.0,minnesota state college southeast,69.0,university of north carolina at charlotte,68.0,ivy tech community college,65.0,kent state university,64.0,birla institute of technology mesra,57.0,university of phoenix,47.0,tecnologico de monterrey,43.0,penn state university,42.0,indiana university indianapolis,38.0,purdue university,35.0,196
Federal Realty Investment Trust,university of maryland,17.0,montgomery college,8.0,university of maryland global campus,6.0,james madison university,5.0,san jose state university,5.0,virginia tech,5.0,university of maryland robert h smith school of business,5.0,towson university,4.0,ucla,4.0,the george washington university,4.0,university of california davis,3.0,penn state university,3.0,university of virginia,3.0,temple university,3.0,west virginia university,3.0,197
FedEx,university of memphis,2502.0,university of phoenix,827.0,embryriddle aeronautical university,616.0,christian brothers university,447.0,university of mississippi,351.0,penn state university,331.0,mississippi state university,328.0,robert morris university,312.0,university of tennessee knoxville,297.0,university of pittsburgh,284.0,university of mumbai,241.0,union university,186.0,jawaharlal nehru technological university,164.0,delhi university,127.0,fgv fundacao getulio vargas,127.0,198
Fidelity National Information Services,savitribai phule pune university,736.0,university of wisconsinmilwaukee,322.0,delhi university,304.0,anna university chennai,282.0,university of mumbai,249.0,visvesvaraya technological university,203.0,kendriya vidyalaya,201.0,university of madras,192.0,university of north florida,183.0,university of south florida,181.0,punjab technical university,156.0,university of florida,152.0,rajiv gandhi prodyogiki vishwavidyalaya,130.0,university of belgrade,119.0,kurukshetra university,111.0,199
Fifth Third Bancorp,university of cincinnati,943.0,northern kentucky university,523.0,miami university,492.0,university of cincinnati carl h lindner college of business,372.0,xavier university,329.0,the ohio state university,297.0,university of kentucky,232.0,ohio university,206.0,cincinnati state technical and community college,202.0,university of phoenix,192.0,grand valley state university,188.0,university of dayton,178.0,wright state university,158.0,depaul university,140.0,indiana university bloomington,139.0,200
First Solar,the university of toledo,301.0,owens community college,118.0,bowling green state university,107.0,hcmc university of technology and education,57.0,arizona state university,42.0,ho chi minh city university of technology,40.0,universiti sains malaysia,38.0,universiti teknologi malaysia,37.0,universiti teknologi mara,32.0,the university of toledo college of engineering,31.0,the ohio state university,31.0,the university of arizona global campus,24.0,universiti utara malaysia,23.0,calhoun community college,19.0,northwest state community college,17.0,201
FirstEnergy,the university of akron,455.0,kent state university,214.0,penn state university,205.0,youngstown state university,148.0,cleveland state university,121.0,west virginia university,116.0,the ohio state university,90.0,university of pittsburgh,84.0,the university of toledo,84.0,stark state college,72.0,fairmont state university,63.0,bowling green state university,63.0,ohio university,60.0,walsh university,52.0,cuyahoga community college,45.0,202
Fiserv,university of nebraska at omaha,389.0,savitribai phule pune university,374.0,university of nebraskalincoln,347.0,bellevue university,286.0,anna university chennai,241.0,university of mumbai,239.0,university of phoenix,210.0,rutgers university,177.0,georgia state university,163.0,university of madras,154.0,delhi university,147.0,jawaharlal nehru technological university,137.0,new jersey institute of technology,136.0,georgia institute of technology,114.0,fgv fundacao getulio vargas,98.0,203
FMC Corporation,university of agriculture faisalabad,106.0,fgv fundacao getulio vargas,95.0,university of delaware,73.0,university college cork,48.0,penn state university,45.0,pontificia universidade catolica de campinas,43.0,universidade estadual paulista julio de mesquita filho,41.0,drexel university,41.0,usp universidade de sao paulo,35.0,villanova university,34.0,university of the punjab,30.0,chartered accountants ireland,29.0,universidade estadual de campinas,23.0,harvard business school online,21.0,bahauddin zakariya university,19.0,204
Ford Motor Company,wayne state university,2297.0,university of michigan,2012.0,university of michigandearborn,1947.0,michigan state university,1789.0,lawrence technological university,1009.0,tecnologico de monterrey,991.0,eastern michigan university,955.0,oakland university,877.0,central michigan university,845.0,anna university chennai,824.0,university of michigan stephen m ross school of business,677.0,university of madras,595.0,university of windsor,554.0,srm ist chennai,353.0,fgv fundacao getulio vargas,272.0,205
Revvity,turun yliopisto university of turku,112.0,turku university of applied sciences,56.0,jagiellonian university,39.0,northeastern university,39.0,university of mumbai,37.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,206
Fortinet,the university of british columbia,200.0,simon fraser university,192.0,san jose state university,189.0,british columbia institute of technology,189.0,dalhousie university,94.0,university of ottawa,75.0,algonquin college of applied arts and technology,74.0,university of victoria,69.0,carleton university,67.0,fgv fundacao getulio vargas,58.0,tecnologico de monterrey,54.0,university of phoenix,53.0,university of southern california,52.0,visvesvaraya technological university,45.0,georgia institute of technology,37.0,207
Fortive,university of washington,148.0,oregon state university,132.0,portland state university,107.0,harvard business school online,98.0,university of phoenix,81.0,arizona state university,79.0,western washington university,78.0,washington state university,72.0,portland community college,57.0,rochester institute of technology,56.0,everett community college,50.0,the university of texas at austin,49.0,edmonds college,47.0,visvesvaraya technological university,46.0,monash university,41.0,208
Fox Corporation (Class A),ucla,206.0,california state university northridge,177.0,university of southern california,160.0,new york university,130.0,arizona state university,113.0,penn state university,104.0,hofstra university,100.0,california state university long beach,90.0,syracuse university,85.0,california state university fullerton,76.0,fordham university,73.0,loyola marymount university,67.0,boston university,67.0,full sail university,65.0,temple university,57.0,209
Fox Corporation (Class B),ucla,206.0,california state university northridge,177.0,university of southern california,160.0,new york university,130.0,arizona state university,113.0,penn state university,104.0,hofstra university,100.0,california state university long beach,90.0,syracuse university,85.0,california state university fullerton,76.0,fordham university,73.0,loyola marymount university,67.0,boston university,67.0,full sail university,65.0,temple university,57.0,210
Franklin Resources,osmania university,243.0,poznan university of economics and business,241.0,uniwersytet im adama mickiewicza w poznaniu,166.0,california state universitysacramento,83.0,the institute of chartered accountants of india,77.0,university of california davis,64.0,university of california berkeley,61.0,university of south florida,50.0,poznan university of technology,48.0,uniwersytet wsb merito poznan,47.0,the wharton school,46.0,jawaharlal nehru technological university,46.0,university of florida,44.0,university of mumbai,43.0,andhra university,43.0,211
Freeport-McMoRan,university of arizona,315.0,arizona state university,243.0,eastern arizona college,147.0,western new mexico university,120.0,university of phoenix,119.0,the university of texas at el paso,118.0,colorado school of mines,118.0,northern arizona university,99.0,new mexico state university,78.0,new mexico institute of mining and technology,72.0,grand canyon university,70.0,pima community college,70.0,pontificia universidad catolica de chile,58.0,national university of engineering,57.0,w p carey school of business arizona state university,54.0,212
Garmin,kansas state university,438.0,the university of kansas,431.0,johnson county community college,224.0,national taiwan university,180.0,missouri university of science and technology,162.0,university of missouricolumbia,134.0,iowa state university,131.0,university of missourikansas city,131.0,national chiao tung university,128.0,arizona state university,124.0,oregon state university,108.0,university of central missouri,103.0,national cheng kung university,102.0,university of nebraskalincoln,101.0,national tsing hua university,93.0,213
Gartner,florida gulf coast university,411.0,delhi university,386.0,university of florida,217.0,university of central florida,159.0,the university of texas at austin,156.0,texas am university,143.0,guru gobind singh indraprastha university,135.0,penn state university,123.0,cornell university,110.0,the london school of economics and political science lse,104.0,university of maryland,102.0,fgv fundacao getulio vargas,98.0,amity university,90.0,texas state university,89.0,the university of texas at dallas,86.0,214
GE Aerospace,university of cincinnati,1491.0,the ohio state university,649.0,purdue university,595.0,university of dayton,423.0,tecnologico de monterrey,421.0,xavier university,420.0,georgia institute of technology,396.0,embryriddle aeronautical university,391.0,penn state university,360.0,miami university,348.0,universidade catolica de petropolis,347.0,michigan state university,299.0,istanbul technical university,227.0,savitribai phule pune university,219.0,fgv fundacao getulio vargas,132.0,215
GE HealthCare,marquette university,528.0,university of wisconsinmadison,513.0,university of wisconsinmilwaukee,467.0,technion israel institute of technology,288.0,visvesvaraya technological university,264.0,milwaukee school of engineering,262.0,crotonville alumni,226.0,penn state university,184.0,purdue university,182.0,tecnologico de monterrey,148.0,fgv fundacao getulio vargas,123.0,birla institute of technology and science pilani,120.0,kendriya vidyalaya,97.0,manipal institute of technology,84.0,university of madras,82.0,216
GE Vernova,georgia institute of technology,447.0,clemson university,276.0,north carolina state university,271.0,rensselaer polytechnic institute,263.0,penn state university,244.0,fgv fundacao getulio vargas,235.0,anna university chennai,223.0,tecnologico de monterrey,217.0,crotonville alumni,205.0,virginia tech,179.0,birla institute of technology and science pilani,98.0,universidade federal de itajuba,86.0,universidade estadual de campinas,81.0,the maharaja sayajirao university of baroda,76.0,vellore institute of technology,66.0,217
Gen Digital,brno university of technology,93.0,masaryk university brno,80.0,prague university of economics and business,73.0,charles university,59.0,arizona state university,53.0,czech technical university in prague,50.0,anna university chennai,47.0,university of madras,39.0,technological university dublin,18.0,birla institute of technology and science pilani,18.0,university of arizona,16.0,faculty of information technology ctu in prague,14.0,madras institute of technology,11.0,university of belgrade,10.0,university college dublin,9.0,218
Stryker Corporation,western michigan university,754.0,munster technological university,660.0,michigan state university,434.0,university of limerick,430.0,university college cork,406.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,219
Generac,university of wisconsinmilwaukee,190.0,university of wisconsinwhitewater,164.0,university of wisconsinmadison,107.0,waukesha county technical college,96.0,milwaukee school of engineering,90.0,marquette university,72.0,milwaukee area technical college,56.0,university of wisconsinplatteville,52.0,university of wisconsinoshkosh,47.0,carroll university,32.0,gateway technical college,31.0,university of wisconsinla crosse,31.0,cardinal stritch university,29.0,university of wisconsinparkside,18.0,tecnologico de monterrey,17.0,220
